pecha_id,split,category,a_start,a_end,b_start,b_end,b_len,b_overlaps_quotation_gold,gap,b_head
I587B7DED,train,named_source,6898,6961,6988,7041,53,1,།⏎ཅེས་དང༌། རྒྱུད་བླ་མ་ལས། ⏎,ལུས་ཅན་ལ་ཡོད་ཟག་པ་མེད་པའི་ཤེས་པ་སྦྲང་མའི
I587B7DED,train,named_source,6988,7041,7074,7129,55,2,།⏎ཞེས་དང༌། ཆོས་དབྱིངས་བསྟོད་པར། ⏎,ཉོན་མོངས་ནང་ན་ཡེ་ཤེས་ཀྱང༌། །⏎དེ་བཞིན་དྲི
I587B7DED,train,named_source,7074,7129,7160,7217,57,2,།⏎ཞེས་དང༌། ཟླ་བ་གྲགས་པས་ཀྱང༌། ⏎,ཆོས་རྣམས་རང་བཞིན་ཁོ་ན་ལ། །⏎གནས་པའི་བློ་ལ
I587B7DED,train,named_source,7160,7217,7241,7362,121,4,།⏎ཅེས་དང༌། སམ་བྷུ་ཊ་ལས།⏎,རང་གི་ལུས་ལ་སངས་རྒྱས་བཞུགས། །⏎གཞན་དུ་གང་
I587B7DED,train,named_source,7241,7362,7382,7449,67,2,།⏎ཅེས་དང༌། ས་ར་ཧས། ⏎,མཁས་པ་ཐམས་ཅད་བསྟན་འཆོས་འཆད་པ་ན། །⏎ལུས་ལ་
I587B7DED,train,named_source,8268,8323,8350,8439,89,3,།⏎ཅེས་དང༌། སེམས་འགྲེལ་ལས། ⏎,ཀུན་རྫོབ་ཉོན་མོངས་ལས་ལས་བྱུང༌། །⏎ལས་ནི་ས
I587B7DED,train,named_source,9647,9774,9819,9928,109,4,།⏎ཅེས་དང༌། ཚངས་པ་ཁྱད་པར་སེམས་ཀྱིས་ཞུས་པ་ལས། ⏎,བརྫུན་པའམ་ནི་བདེན་པ་ཞིག །⏎བསྟན་པ་ལ་ནི་རྙ
I587B7DED,train,named_source,12104,12224,12244,12329,85,2,།⏎ཅེས་དང༌། སྡུད་པར།⏎,ཇི་སྲིད་དགེ་བའི་རྩ་བ་དེ་ནི་མ་རྫོགས་པར། །
I587B7DED,train,named_source,12849,13033,13069,13124,55,2,།⏎ཞེས་དང༌། མངོན་རྟོགས་རྒྱན་ལས་ཀྱང༌།⏎,སེམས་ནི་སྔ་མས་བྱང་ཆུབ་བར། །⏎རིགས་མིན་ཕྱི
I587B7DED,train,named_source,16699,16810,16848,16964,116,4,།⏎ཞེས་དང༌། བཟང་པོ་ལུང་བསྟན་པའི་མདོར། ⏎,སྒྱུ་མ་ལྟ་བུའི་ཚོགས་བསགས་པས། །⏎སྒྱུ་མ་ལྟ
I587B7DED,train,named_source,16848,16964,16997,17068,71,2,།⏎ཅེས་དང༌། ཏིང་འཛིན་རྒྱལ་པོ་ལས། ⏎,ཆོས་ཉིད་ལ་ནི་རྒྱུ་འབྲས་མེད་ཤེས་ཀྱང༌། །⏎ད
I587B7DED,train,named_source,19332,19513,19545,19656,111,4,།⏎ཅེས་དང༌། སློབ་དཔོན་ཨརྻ་དེ་བས།⏎,རྣམ་པ་དུ་མས་ཐ་དད་པའི། །⏎དངོས་པོ་རྣམས་ནི་
I88977D82,train,named_source,167462,167536,167559,167809,250,0, ⏎ཞེས་དང་། འདི་ཉིད་ལས།⏎,ཁྱད་པར་ངའི་གཏེར་ཆོས་ཟབ་མོ་དང༔ ⏎འཕྲད་དང་འ
IC87920B7,train,named_source,102532,102672,102704,102824,120,4,།⏎ཞེས་དང༌། རྣམ་སྣང་མངོན་བྱང་ལས།⏎,རྣམ་རྟོག་མ་རིག་ཆེན་པོ་སྟེ། །⏎འཁོར་བའི་རྒ
P000070,train,outline_heading,15194,15809,15858,16090,232,0, ཅེས་པ་དང༌།⏎གཉིས་པ་༼གོམས་ན་མི་དཀའ་བར་བསྟན་པ་༽ནི།⏎,ཚོད་མ་ལ་སོགས་སྦྱིན་པ་ལའང༌། །⏎འདྲེན་པས་ཐོ
P000070,train,outline_heading,15858,16090,16145,16653,508,0, ཅེས་པ་དང༌།⏎གསུམ་པ་༼དེ་ཉིད་བདེ་བའི་མཆོག་ཏུ་བསྟན་པ་༽ནི།⏎,སྡིག་པ་སྤངས་ཕྱིར་སྡུག་བསྔལ་མེད། །⏎མཁས་པའ
P000070,train,outline_heading,101165,102021,102059,102299,240,0,།ཅེས་པ་དང༌།⏎3. རོ་ལངས་ལྟ་བུར་ལྟ་བ་ནི།⏎,རུས་གོང་ཉིད་དུ་མཐོང་ནས་ནི། །⏎མི་འགུལ་ཡང་
P000070,train,outline_heading,105389,106258,106311,106467,156,0,།ཞེས་པ་དང༌།⏎2. སྡུག་བསྔལ་གྱི་འབྱུང་གནས་སུ་བསྟན་པ་ནི།⏎,བསགས་དང་བསྲུང་དང་བརླག་པའི་གདུང་བ་ཡིས། །⏎
P000070,train,outline_heading,106311,106467,106514,107157,643,0,།ཞེས་པ་དང༌།⏎3. ཐུང་མོང་གི་ཉེས་དམིགས་བསྟན་པ་ནི།⏎,འདོད་ལྡན་རྣམས་ལ་དེ་ལ་སོགས། །⏎ཉེས་དམིགས་མ
P000145,train,named_source,89757,89865,89888,90023,135,0,།⏎ཞེས་དང༌། སཾ་བུ་ཏྲིར།⏎,དབང་དེ་ཡང་ནི་རྣམ་པ་བཞི། །⏎དང་པོར་བུམ་པའི
P000145,train,named_source,204766,205053,205078,205351,273,0, །⏎ཞེས་དང༌། ལྭ་བ་པས་ཀྱང༌།,⏎དང་པོ་རི་དྭགས་སྲེད་བཞིན་སྣང་བ་སྟེ། །⏎མཚ
I8698A1DF,val,named_source,8408,8427,8448,8566,118,0,།⏎ཞེས་དང་། འགྲེལ་པར།⏎,དང་པོ་དཀོན་མཆོག་ཀུན་འདུས་ཀྱི་ངོ་བོ་བླ་མ་
